county_fips,county_name,cdc_year,cdc_population,rate_range,rate_midpoint,acs_year,acs_total_pop,acs_female_pop,female_share
18031,"Decatur County, Indiana",2013,26224,14.1-16,15.05,2023,26411,13198,0.4997160274128204
18035,"Delaware County, Indiana",2013,117435,18.1-20,19.05,2023,112109,57908,0.5165330169745516
18037,"Dubois County, Indiana",2013,42335,8.1-10,9.05,2023,43563,21639,0.4967288754218029
18039,"Elkhart County, Indiana",2013,200476,8.1-10,9.05,2023,206868,104237,0.5038817023415898
18041,"Fayette County, Indiana",2013,23853,20.1-22,21.05,2023,23390,11831,0.505814450619923
18043,"Floyd County, Indiana",2013,76098,14.1-16,15.05,2023,80512,41142,0.5110045707472178
18045,"Fountain County, Indiana",2013,16878,10.1-12,11.05,2023,16546,8252,0.49873081107216244
18047,"Franklin County, Indiana",2013,22920,16.1-18,17.05,2023,22929,11530,0.5028566444240917
18049,"Fulton County, Indiana",2013,20435,12.1-14,13.05,2023,20411,10085,0.494096320611435
18051,"Gibson County, Indiana",2013,33576,10.1-12,11.05,2023,32986,16243,0.4924210271024071
18053,"Grant County, Indiana",2013,69031,18.1-20,19.05,2023,66377,34476,0.5193967790047758
18055,"Greene County, Indiana",2013,32798,16.1-18,17.05,2023,30954,15227,0.49192349938618596
18057,"Hamilton County, Indiana",2013,297097,6.1-8,7.05,2023,357176,181604,0.5084440163952785
18059,"Hancock County, Indiana",2013,71090,14.1-16,15.05,2023,82013,41090,0.5010181312718716
18061,"Harrison County, Indiana",2013,39051,8.1-10,9.05,2023,39785,19766,0.496820409702149
18063,"Hendricks County, Indiana",2013,153585,8.1-10,9.05,2023,179379,89272,0.4976725257694602
18065,"Henry County, Indiana",2013,49051,24.1-26,25.05,2023,48896,23105,0.47253354057591623
18067,"Howard County, Indiana",2013,82825,22.1-24,23.05,2023,83610,43009,0.5144001913646693
18069,"Huntington County, Indiana",2013,36818,12.1-14,13.05,2023,36757,18330,0.4986805234377125
18071,"Jackson County, Indiana",2013,43514,14.1-16,15.05,2023,46319,22697,0.4900148966946609
18073,"Jasper County, Indiana",2013,33412,10.1-12,11.05,2023,33198,16662,0.5018977046810049
18075,"Jay County, Indiana",2013,21274,14.1-16,15.05,2023,20281,10076,0.4968196834475618
18077,"Jefferson County, Indiana",2013,32501,12.1-14,13.05,2023,33074,17168,0.5190784301868537
18079,"Jennings County, Indiana",2013,28281,16.1-18,17.05,2023,27584,13569,0.49191560324825984
18081,"Johnson County, Indiana",2013,145759,12.1-14,13.05,2023,163983,82751,0.5046315776635383
18083,"Knox County, Indiana",2013,38023,12.1-14,13.05,2023,36108,17760,0.49185776005317383
18085,"Kosciusko County, Indiana",2013,77876,8.1-10,9.05,2023,80357,40150,0.4996453327028137
18087,"LaGrange County, Indiana",2013,38049,4.1-6,5.05,2023,40596,19959,0.49164942358853087
18091,"LaPorte County, Indiana",2013,111376,10.1-12,11.05,2023,112141,54005,0.48158122363809847
18089,"Lake County, Indiana",2013,491560,6.1-8,7.05,2023,498990,256128,0.5132928515601515
18093,"Lawrence County, Indiana",2013,45845,14.1-16,15.05,2023,45077,22823,0.5063114226767531
18095,"Madison County, Indiana",2013,130401,24.1-26,25.05,2023,130949,64907,0.4956662517468633
18097,"Marion County, Indiana",2013,928515,16.1-18,17.05,2023,971822,501089,0.5156180864396978
18099,"Marshall County, Indiana",2013,46986,8.1-10,9.05,2023,46225,22835,0.4939967550027042
18101,"Martin County, Indiana",2013,10223,10.1-12,11.05,2023,9854,4782,0.48528516338542727
18103,"Miami County, Indiana",2013,36124,10.1-12,11.05,2023,35772,16377,0.4578161690707816
18105,"Monroe County, Indiana",2013,142097,14.1-16,15.05,2023,139822,70119,0.5014876056700662
18107,"Montgomery County, Indiana",2013,38086,16.1-18,17.05,2023,38155,18725,0.4907613681037872
18109,"Morgan County, Indiana",2013,69381,16.1-18,17.05,2023,72202,36221,0.5016620038226088
18111,"Newton County, Indiana",2013,14029,12.1-14,13.05,2023,13859,6782,0.4893570964716069
18113,"Noble County, Indiana",2013,47501,8.1-10,9.05,2023,47417,23457,0.49469599510724
18115,"Ohio County, Indiana",2013,6026,20.1-22,21.05,2023,5993,3017,0.5034206574336726
18117,"Orange County, Indiana",2013,19736,10.1-12,11.05,2023,19746,9840,0.49832877544819204
18119,"Owen County, Indiana",2013,21175,12.1-14,13.05,2023,21434,10585,0.4938415601380983
18121,"Parke County, Indiana",2013,17199,12.1-14,13.05,2023,16346,8485,0.5190872384681268
18123,"Perry County, Indiana",2013,19449,10.1-12,11.05,2023,19218,8729,0.4542095951711937
18125,"Pike County, Indiana",2013,12660,10.1-12,11.05,2023,12187,6124,0.5025026667760729
18127,"Porter County, Indiana",2013,166578,14.1-16,15.05,2023,174150,87928,0.5048980763709446
18129,"Posey County, Indiana",2013,25497,10.1-12,11.05,2023,25163,12527,0.4978341215276398
18131,"Pulaski County, Indiana",2013,13011,18.1-20,19.05,2023,12441,6259,0.5030946065428824
18133,"Putnam County, Indiana",2013,37507,8.1-10,9.05,2023,37091,17516,0.472243940578577
18135,"Randolph County, Indiana",2013,25600,12.1-14,13.05,2023,24425,12214,0.5000614124872057
18137,"Ripley County, Indiana",2013,28493,14.1-16,15.05,2023,29039,14505,0.49950067151072697
18139,"Rush County, Indiana",2013,17001,12.1-14,13.05,2023,16734,8399,0.501912274411378
18143,"Scott County, Indiana",2013,23800,28.1-30,29.05,2023,24468,12356,0.5049861042994932
18145,"Shelby County, Indiana",2013,44455,14.1-16,15.05,2023,45104,22710,0.503503015253636
18147,"Spencer County, Indiana",2013,20827,10.1-12,11.05,2023,19871,9713,0.4888027779175683
18141,"St. Joseph County, Indiana",2013,266885,10.1-12,11.05,2023,272574,139102,0.510327470705203
18149,"Starke County, Indiana",2013,23188,>30,,2023,23300,11553,0.4958369098712446
18151,"Steuben County, Indiana",2013,34328,6.1-8,7.05,2023,34648,16661,0.48086469637497115
18153,"Sullivan County, Indiana",2013,21174,20.1-22,21.05,2023,20766,9472,0.4561302128479245
18155,"Switzerland County, Indiana",2013,10523,18.1-20,19.05,2023,9914,4876,0.4918297357272544
18157,"Tippecanoe County, Indiana",2013,181290,12.1-14,13.05,2023,187399,91425,0.4878627954258027
