county_fips,year,county,rate_range,cdc_population,county_name_acs,total_pop_acs,female_pop_acs,female_share
18157,2014,"Tippecanoe County, IN",14.1-16,183670,"Tippecanoe County, Indiana",187399,91425,0.4878627954258027
18159,2014,"Tipton County, IN",18.1-20,15429,"Tipton County, Indiana",15329,7607,0.49624893991780283
18161,2014,"Union County, IN",22.1-24,7225,"Union County, Indiana",7028,3553,0.5055492316448492
18163,2014,"Vanderburgh County, IN",22.1-24,181918,"Vanderburgh County, Indiana",179908,92059,0.5117004246614937
18165,2014,"Vermillion County, IN",14.1-16,15694,"Vermillion County, Indiana",15452,7668,0.49624644059021483
18167,2014,"Vigo County, IN",14.1-16,108201,"Vigo County, Indiana",106201,52585,0.4951459967420269
18169,2014,"Wabash County, IN",18.1-20,32282,"Wabash County, Indiana",30901,15739,0.5093362674347108
18171,2014,"Warren County, IN",12.1-14,8330,"Warren County, Indiana",8469,4250,0.5018302042744126
18173,2014,"Warrick County, IN",6.1-8,61267,"Warrick County, Indiana",64650,32886,0.508677494199536
18175,2014,"Washington County, IN",14.1-16,27904,"Washington County, Indiana",28167,14166,0.5029289594205986
18177,2014,"Wayne County, IN",20.1-22,67447,"Wayne County, Indiana",66377,33981,0.5119393765912892
18179,2014,"Wells County, IN",12.1-14,27827,"Wells County, Indiana",28261,14265,0.5047592088036517
18181,2014,"White County, IN",12.1-14,24408,"White County, Indiana",24709,12249,0.49573030070014973
18183,2014,"Whitley County, IN",10.1-12,33412,"Whitley County, Indiana",34388,17168,0.4992439222984762
18001,2013,"Adams County, IN",8.1-10,34671,"Adams County, Indiana",35995,17987,0.49970829281844703
18003,2013,"Allen County, IN",10.1-12,363473,"Allen County, Indiana",388791,197503,0.5079927261690729
18005,2013,"Bartholomew County, IN",14.1-16,79505,"Bartholomew County, Indiana",82881,40949,0.4940698109337484
18007,2013,"Benton County, IN",16.1-18,8717,"Benton County, Indiana",8708,4244,0.4873679375287092
18009,2013,"Blackford County, IN",22.1-24,12473,"Blackford County, Indiana",12007,6132,0.5107020904472391
18011,2013,"Boone County, IN",8.1-10,60458,"Boone County, Indiana",72827,36518,0.5014349073832507
18013,2013,"Brown County, IN",14.1-16,15029,"Brown County, Indiana",15543,7767,0.49971048060220036
18015,2013,"Carroll County, IN",10.1-12,20101,"Carroll County, Indiana",20443,10045,0.4913662378320207
18017,2013,"Cass County, IN",6.1-8,38491,"Cass County, Indiana",37703,18870,0.5004906771344455
18019,2013,"Clark County, IN",16.1-18,112771,"Clark County, Indiana",122800,62470,0.50871335504886
18021,2013,"Clay County, IN",12.1-14,26735,"Clay County, Indiana",26431,13339,0.5046725436041013
18023,2013,"Clinton County, IN",14.1-16,32913,"Clinton County, Indiana",32967,16506,0.5006825006825006
18025,2013,"Crawford County, IN",18.1-20,10586,"Crawford County, Indiana",10494,5199,0.4954259576901086
18027,2013,"Daviess County, IN",12.1-14,32303,"Daviess County, Indiana",33442,16762,0.501226003229472
18033,2013,"De Kalb County, IN",12.1-14,42387,"DeKalb County, Indiana",43584,21831,0.5008948237885462
18029,2013,"Dearborn County, IN",16.1-18,49755,"Dearborn County, Indiana",50828,25461,0.5009246871802944
18031,2013,"Decatur County, IN",14.1-16,26224,"Decatur County, Indiana",26411,13198,0.4997160274128204
18035,2013,"Delaware County, IN",18.1-20,117435,"Delaware County, Indiana",112109,57908,0.5165330169745516
18037,2013,"Dubois County, IN",8.1-10,42335,"Dubois County, Indiana",43563,21639,0.4967288754218029
18039,2013,"Elkhart County, IN",8.1-10,200476,"Elkhart County, Indiana",206868,104237,0.5038817023415898
18041,2013,"Fayette County, IN",20.1-22,23853,"Fayette County, Indiana",23390,11831,0.505814450619923
18043,2013,"Floyd County, IN",14.1-16,76098,"Floyd County, Indiana",80512,41142,0.5110045707472178
18045,2013,"Fountain County, IN",10.1-12,16878,"Fountain County, Indiana",16546,8252,0.49873081107216244
18047,2013,"Franklin County, IN",16.1-18,22920,"Franklin County, Indiana",22929,11530,0.5028566444240917
18049,2013,"Fulton County, IN",12.1-14,20435,"Fulton County, Indiana",20411,10085,0.494096320611435
18051,2013,"Gibson County, IN",10.1-12,33576,"Gibson County, Indiana",32986,16243,0.4924210271024071
18053,2013,"Grant County, IN",18.1-20,69031,"Grant County, Indiana",66377,34476,0.5193967790047758
18055,2013,"Greene County, IN",16.1-18,32798,"Greene County, Indiana",30954,15227,0.49192349938618596
18057,2013,"Hamilton County, IN",6.1-8,297097,"Hamilton County, Indiana",357176,181604,0.5084440163952785
18059,2013,"Hancock County, IN",14.1-16,71090,"Hancock County, Indiana",82013,41090,0.5010181312718716
18061,2013,"Harrison County, IN",8.1-10,39051,"Harrison County, Indiana",39785,19766,0.496820409702149
18063,2013,"Hendricks County, IN",8.1-10,153585,"Hendricks County, Indiana",179379,89272,0.4976725257694602
18065,2013,"Henry County, IN",24.1-26,49051,"Henry County, Indiana",48896,23105,0.47253354057591623
18067,2013,"Howard County, IN",22.1-24,82825,"Howard County, Indiana",83610,43009,0.5144001913646693
