HOSPITAL_ID,SUBSTANCE_CATEGORY,PATS,TC,TD,PAYOR1,AVG_CHARGE,AVG_LOS
31,Other Psychoactive Substances,3,178483,10,2,59494.333333333336,3.3333333333333335
31,Other Substance Related,62,4530101,306,1,73066.14516129032,4.935483870967742
31,Sedative Disorders,1,70696,4,1,70696.0,4.0
31,Stimulant Disorders,4,127635,11,4,31908.75,2.75
32,Alcohol Disorders,467,11690280,1761,1,25032.71948608137,3.770877944325482
32,Cannabis Disorders,4,90623,13,10,22655.75,3.25
32,Cocaine Disorders,7,182680,29,11,26097.14285714286,4.142857142857143
32,Drug Overdose,86,2389599,293,1,27786.03488372093,3.4069767441860463
32,Opioid Disorders,14,455145,68,1,32510.35714285714,4.857142857142857
32,Opioid Overdose,39,1191819,148,1,30559.46153846154,3.7948717948717947
32,Other Psychoactive Substances,4,62461,7,1,15615.25,1.75
32,Other Substance Related,36,1276467,135,1,35457.416666666664,3.75
32,Sedative Disorders,7,141170,27,1,20167.14285714286,3.857142857142857
32,Stimulant Disorders,6,132330,17,5,22055.0,2.8333333333333335
33,Alcohol Disorders,84,3227159,229,1,38418.55952380953,2.7261904761904763
33,Cocaine Disorders,3,151749,11,2,50583.0,3.6666666666666665
33,Drug Overdose,13,494572,27,2,38044.0,2.076923076923077
33,Opioid Disorders,2,93049,6,4,46524.5,3.0
33,Opioid Overdose,16,829140,39,10,51821.25,2.4375
33,Other Psychoactive Substances,2,82890,4,1,41445.0,2.0
33,Other Substance Related,2,148621,6,4,74310.5,3.0
33,Sedative Disorders,2,27844,2,4,13922.0,1.0
33,Stimulant Disorders,3,123562,6,2,41187.333333333336,2.0
34,Alcohol Disorders,15,736490,75,1,49099.333333333336,5.0
34,Cocaine Disorders,1,47756,2,5,47756.0,2.0
34,Drug Overdose,9,458735,39,1,50970.555555555555,4.333333333333333
34,Opioid Overdose,4,130453,8,1,32613.25,2.0
34,Other Substance Related,10,309475,33,1,30947.5,3.3
34,Sedative Disorders,2,73863,11,1,36931.5,5.5
35,Alcohol Disorders,2,45862,5,7,22931.0,2.5
36,Alcohol Disorders,2,33943,7,7,16971.5,3.5
36,Drug Overdose,1,18543,6,1,18543.0,6.0
36,Opioid Disorders,1,13298,3,1,13298.0,3.0
36,Sedative Disorders,1,45665,2,1,45665.0,2.0
37,Alcohol Disorders,80,1380605,218,1,17257.5625,2.725
37,Cannabis Disorders,7,96680,31,3,13811.42857142857,4.428571428571429
37,Drug Overdose,7,159404,13,1,22772.0,1.8571428571428572
37,Opioid Disorders,3,113370,13,2,37790.0,4.333333333333333
37,Opioid Overdose,3,112830,9,1,37610.0,3.0
37,Other Psychoactive Substances,7,136446,32,11,19492.285714285714,4.571428571428571
37,Other Substance Related,2,104488,8,1,52244.0,4.0
37,Sedative Disorders,2,46521,3,1,23260.5,1.5
37,Stimulant Disorders,9,119270,38,2,13252.222222222223,4.222222222222222
38,Alcohol Disorders,65,1943405,255,10,29898.53846153846,3.923076923076923
38,Cannabis Disorders,1,13290,3,5,13290.0,3.0
38,Cocaine Disorders,3,141613,14,1,47204.333333333336,4.666666666666667
38,Drug Overdose,22,925195,113,2,42054.318181818184,5.136363636363637
38,Opioid Overdose,21,1620259,122,1,77155.19047619047,5.809523809523809
38,Other Psychoactive Substances,1,20034,4,2,20034.0,4.0
38,Other Substance Related,7,258696,34,1,36956.57142857143,4.857142857142857
38,Stimulant Disorders,2,195936,42,1,97968.0,21.0
41,Alcohol Disorders,6,85414,14,2,14235.666666666666,2.3333333333333335
42,Alcohol Disorders,2,46067,7,11,23033.5,3.5
42,Opioid Overdose,3,76782,8,1,25594.0,2.6666666666666665
42,Other Psychoactive Substances,1,16534,2,5,16534.0,2.0
43,Alcohol Disorders,38,1012291,169,11,26639.236842105263,4.447368421052632
