"fips","year","state","st","fips_state","county","population","estimated_age_adjusted_death_rate_11_categories_in_ranges"
"18033","2007","Indiana","IN","18","De Kalb County, IN","41876","8.1-10"
"18095","2012","Indiana","IN","18","Madison County, IN","130259","24.1-26"
"18155","2010","Indiana","IN","18","Switzerland County, IN","10625","14.1-16"
"18035","2000","Indiana","IN","18","Delaware County, IN","118776","8.1-10"
"18167","2013","Indiana","IN","18","Vigo County, IN","108324","14.1-16"
"18165","2011","Indiana","IN","18","Vermillion County, IN","16107","12.1-14"
"18143","2005","Indiana","IN","18","Scott County, IN","23889","18.1-20"
"18087","2014","Indiana","IN","18","Lagrange County, IN","38462","4.1-6"
"18179","2014","Indiana","IN","18","Wells County, IN","27827","12.1-14"
"18137","2014","Indiana","IN","18","Ripley County, IN","28548","14.1-16"
"18025","2006","Indiana","IN","18","Crawford County, IN","11008","8.1-10"
"18119","2013","Indiana","IN","18","Owen County, IN","21175","12.1-14"
"18141","2012","Indiana","IN","18","St. Joseph County, IN","266524","10.1-12"
"18057","2014","Indiana","IN","18","Hamilton County, IN","303278","6.1-8"
"18033","2010","Indiana","IN","18","De Kalb County, IN","42293","8.1-10"
"18031","2015","Indiana","IN","18","Decatur County, IN","26521","16.1-18"
"18151","2012","Indiana","IN","18","Steuben County, IN","34164","6.1-8"
"18137","2013","Indiana","IN","18","Ripley County, IN","28493","14.1-16"
"18103","2011","Indiana","IN","18","Miami County, IN","36587","8.1-10"
"18109","2014","Indiana","IN","18","Morgan County, IN","69590","16.1-18"
"18113","2012","Indiana","IN","18","Noble County, IN","47434","8.1-10"
"18025","2012","Indiana","IN","18","Crawford County, IN","10649","18.1-20"
"18011","2012","Indiana","IN","18","Boone County, IN","59062","8.1-10"
"18165","2014","Indiana","IN","18","Vermillion County, IN","15694","14.1-16"
"18135","2003","Indiana","IN","18","Randolph County, IN","26763","6.1-8"
"18057","2013","Indiana","IN","18","Hamilton County, IN","297097","6.1-8"
"18071","2012","Indiana","IN","18","Jackson County, IN","43032","14.1-16"
"18105","2012","Indiana","IN","18","Monroe County, IN","141324","12.1-14"
"18153","2015","Indiana","IN","18","Sullivan County, IN","20928","22.1-24"
"18005","2010","Indiana","IN","18","Bartholomew County, IN","76846","10.1-12"
"18065","2012","Indiana","IN","18","Henry County, IN","49262","24.1-26"
"18063","2013","Indiana","IN","18","Hendricks County, IN","153585","8.1-10"
"18079","2010","Indiana","IN","18","Jennings County, IN","28475","12.1-14"
"18149","2015","Indiana","IN","18","Starke County, IN","22958",">30"
"18097","2011","Indiana","IN","18","Marion County, IN","910861","14.1-16"
"18139","2013","Indiana","IN","18","Rush County, IN","17001","12.1-14"
"18067","2014","Indiana","IN","18","Howard County, IN","82693","24.1-26"
"18031","2000","Indiana","IN","18","Decatur County, IN","24572","6.1-8"
"18107","2012","Indiana","IN","18","Montgomery County, IN","38168","14.1-16"
"18157","2000","Indiana","IN","18","Tippecanoe County, IN","149359","6.1-8"
"18159","2011","Indiana","IN","18","Tipton County, IN","15851","16.1-18"
"18029","2015","Indiana","IN","18","Dearborn County, IN","49455","18.1-20"
"18057","2003","Indiana","IN","18","Hamilton County, IN","215152","4.1-6"
"18177","2011","Indiana","IN","18","Wayne County, IN","68754","16.1-18"
"18093","2015","Indiana","IN","18","Lawrence County, IN","45495","14.1-16"
"18129","2010","Indiana","IN","18","Posey County, IN","25857","8.1-10"
"18039","2012","Indiana","IN","18","Elkhart County, IN","199229","8.1-10"
"18097","2012","Indiana","IN","18","Marion County, IN","918748","14.1-16"
"18137","2012","Indiana","IN","18","Ripley County, IN","28569","12.1-14"
"18115","2006","Indiana","IN","18","Ohio County, IN","6022","8.1-10"
"18081","2012","Indiana","IN","18","Johnson County, IN","143579","10.1-12"
"18167","2012","Indiana","IN","18","Vigo County, IN","108594","14.1-16"
"18011","2011","Indiana","IN","18","Boone County, IN","57884","8.1-10"
"18039","2010","Indiana","IN","18","Elkhart County, IN","197471","6.1-8"
"18143","2014","Indiana","IN","18","Scott County, IN","23678",">30"
"18029","2011","Indiana","IN","18","Dearborn County, IN","50009","14.1-16"
"18049","2010","Indiana","IN","18","Fulton County, IN","20818","8.1-10"
"18159","2009","Indiana","IN","18","Tipton County, IN","16046","12.1-14"
"18049","2011","Indiana","IN","18","Fulton County, IN","20750","10.1-12"
"18027","2014","Indiana","IN","18","Daviess County, IN","32745","12.1-14"
"18107","2010","Indiana","IN","18","Montgomery County, IN","38087","12.1-14"
"18025","2011","Indiana","IN","18","Crawford County, IN","10608","16.1-18"
"18115","2011","Indiana","IN","18","Ohio County, IN","6086","16.1-18"
"18011","2013","Indiana","IN","18","Boone County, IN","60458","8.1-10"
"18089","2013","Indiana","IN","18","Lake County, IN","491560","6.1-8"
"18041","2015","Indiana","IN","18","Fayette County, IN","23434","24.1-26"
"18117","2012","Indiana","IN","18","Orange County, IN","19692","10.1-12"
"18009","2015","Indiana","IN","18","Blackford County, IN","12298","26.1-28"
"18107","2008","Indiana","IN","18","Montgomery County, IN","38204","10.1-12"
"18131","2014","Indiana","IN","18","Pulaski County, IN","12979","18.1-20"
"18087","2015","Indiana","IN","18","Lagrange County, IN","38809","4.1-6"
"18063","2012","Indiana","IN","18","Hendricks County, IN","150707","8.1-10"
"18181","2002","Indiana","IN","18","White County, IN","25240","6.1-8"
"18059","2014","Indiana","IN","18","Hancock County, IN","71963","14.1-16"
"18127","2014","Indiana","IN","18","Porter County, IN","167308","14.1-16"
"18101","2013","Indiana","IN","18","Martin County, IN","10223","10.1-12"
"18043","2010","Indiana","IN","18","Floyd County, IN","74708","10.1-12"
"18067","2012","Indiana","IN","18","Howard County, IN","82900","20.1-22"
"18127","2012","Indiana","IN","18","Porter County, IN","165765","12.1-14"
"18015","2013","Indiana","IN","18","Carroll County, IN","20101","10.1-12"
"18013","2015","Indiana","IN","18","Brown County, IN","14977","18.1-20"
"18099","2010","Indiana","IN","18","Marshall County, IN","47009","6.1-8"
"18115","2014","Indiana","IN","18","Ohio County, IN","6008","22.1-24"
"18005","2007","Indiana","IN","18","Bartholomew County, IN","75265","8.1-10"
"18019","2014","Indiana","IN","18","Clark County, IN","114301","18.1-20"
"18033","2012","Indiana","IN","18","De Kalb County, IN","42303","10.1-12"
"18183","2012","Indiana","IN","18","Whitley County, IN","33287","8.1-10"
"18055","2014","Indiana","IN","18","Greene County, IN","32733","18.1-20"
"18067","2015","Indiana","IN","18","Howard County, IN","82556","24.1-26"
"18029","2014","Indiana","IN","18","Dearborn County, IN","49423","16.1-18"
"18087","2012","Indiana","IN","18","Lagrange County, IN","37618","4.1-6"
"18145","2014","Indiana","IN","18","Shelby County, IN","44531","14.1-16"
"18093","2000","Indiana","IN","18","Lawrence County, IN","45915","4.1-6"
"18091","2013","Indiana","IN","18","La Porte County, IN","111376","10.1-12"
"18021","2013","Indiana","IN","18","Clay County, IN","26735","12.1-14"
"18041","2014","Indiana","IN","18","Fayette County, IN","23466","22.1-24"
"18127","1999","Indiana","IN","18","Porter County, IN","145815","6.1-8"
"18061","2010","Indiana","IN","18","Harrison County, IN","39352","8.1-10"
"18037","2011","Indiana","IN","18","Dubois County, IN","42197","6.1-8"
"18173","2010","Indiana","IN","18","Warrick County, IN","59850","4.1-6"
"18121","2015","Indiana","IN","18","Parke County, IN","16901","12.1-14"
"18019","2004","Indiana","IN","18","Clark County, IN","100435","10.1-12"
"18169","2011","Indiana","IN","18","Wabash County, IN","32585","14.1-16"
"18155","2013","Indiana","IN","18","Switzerland County, IN","10523","18.1-20"
