county_fips,county_name,female_pop,total_pop,female_share,overdose_rate_midpoint,rate_range,min_drive_time_min,otp_access_tier,poverty_rate_pct,single_mother_pct,unemployment_rate_pct,uninsured_rate_pct,mh_events_per_100k,n_overdose,n_drive_time,n_poverty,n_single_mom,n_unemployment,n_uninsured,n_mh_events,composite_need_score,county_rank
18099,Marshall County,22835,46225,0.494,5.46,10.1-12,22.5,15–30 min,5.38,5.2,1.38,6.42,4301.75,25.0,22.22,33.23,27.78,21.31,23.96,36.85,26.7,72
18037,Dubois County,21639,43563,0.4967,4.5,8.1-10,37.5,30–45 min,4.72,5.7,1.04,2.19,3639.32,16.95,44.44,26.35,34.72,12.02,3.02,30.47,26.5,73
18113,Noble County,23457,47417,0.4947,5.47,10.1-12,22.5,15–30 min,4.2,6.1,1.53,5.79,2736.43,25.08,22.22,20.94,40.28,25.41,20.84,21.78,25.6,74
18073,Jasper County,16662,33198,0.5019,6.55,12.1-14,22.5,15–30 min,3.46,5.7,1.96,2.21,2353.01,34.14,22.22,13.23,34.72,37.16,3.12,18.09,25.6,74
18029,Dearborn County,25461,50828,0.5009,9.54,18.1-20,7.5,0–15 min,4.06,5.0,1.15,2.4,2964.08,59.23,0.0,19.48,25.0,15.03,4.06,23.97,25.4,76
18125,Pike County,6124,12187,0.5025,6.56,12.1-14,22.5,15–30 min,6.13,3.8,1.56,2.16,887.52,34.23,22.22,41.04,8.33,26.23,2.87,3.98,25.4,76
18013,Brown County,7767,15543,0.4997,9.52,18.1-20,7.5,0–15 min,4.3,4.3,1.6,3.05,565.01,59.06,0.0,21.98,15.28,27.32,7.28,0.87,24.6,78
18081,Johnson County,82751,163983,0.5046,7.59,14.1-16,7.5,0–15 min,3.63,6.4,1.51,2.42,1688.29,42.87,0.0,15.0,44.44,24.86,4.16,11.69,23.7,79
18051,Gibson County,16243,32986,0.4924,5.44,10.1-12,22.5,15–30 min,5.02,4.8,1.43,2.07,2228.9,24.83,22.22,29.48,22.22,22.68,2.43,16.89,23.1,80
18129,Posey County,12527,25163,0.4978,5.5,10.1-12,22.5,15–30 min,4.93,5.3,1.14,1.94,1914.99,25.34,22.22,28.54,29.17,14.75,1.78,13.87,23.1,80
18179,Wells County,14265,28261,0.5048,6.59,12.1-14,22.5,15–30 min,3.63,5.5,1.06,3.33,1005.61,34.48,22.22,15.0,31.94,12.57,8.66,5.11,22.8,82
18061,Harrison County,19766,39785,0.4968,5.49,10.1-12,22.5,15–30 min,3.73,4.9,1.89,2.73,3345.15,25.25,22.22,16.04,23.61,35.25,5.69,27.64,22.7,83
18087,LaGrange County,19959,40596,0.4916,2.48,4.1-6,37.5,30–45 min,2.8,5.2,1.67,21.78,1297.53,0.0,44.44,6.35,27.78,29.23,100.0,7.93,22.6,84
18015,Carroll County,10045,20443,0.4914,6.41,12.1-14,22.5,15–30 min,4.13,4.1,1.43,5.8,591.35,32.97,22.22,20.21,12.5,22.68,20.89,1.13,22.0,85
18147,Spencer County,9713,19871,0.4888,6.38,12.1-14,22.5,15–30 min,3.23,4.0,1.66,1.86,1091.88,32.72,22.22,10.83,11.11,28.96,1.39,5.95,19.7,86
18133,Putnam County,17516,37091,0.4722,5.22,10.1-12,22.5,15–30 min,3.82,5.2,0.99,1.84,1973.61,22.99,22.22,16.98,27.78,10.66,1.29,14.44,19.6,87
18059,Hancock County,41090,82013,0.501,8.54,16.1-18,7.5,0–15 min,2.25,4.4,1.35,2.61,2445.43,50.84,0.0,0.63,16.67,20.49,5.1,18.98,18.6,88
18173,Warrick County,32886,64650,0.5087,4.6,8.1-10,7.5,0–15 min,3.26,5.4,1.48,1.58,6660.51,17.79,0.0,11.15,30.56,24.04,0.0,59.57,16.6,89
18011,Boone County,36518,72827,0.5014,5.54,10.1-12,7.5,0–15 min,2.56,5.4,1.5,2.06,3212.82,25.67,0.0,3.85,30.56,24.59,2.38,26.37,15.7,90
18063,Hendricks County,89272,179379,0.4977,5.5,10.1-12,7.5,0–15 min,2.49,5.9,1.24,2.79,2478.75,25.34,0.0,3.13,37.5,17.49,5.99,19.3,15.6,91
18057,Hamilton County,181604,357176,0.5084,4.6,8.1-10,7.5,0–15 min,2.19,4.8,1.42,2.14,2202.69,17.79,0.0,0.0,22.22,22.4,2.77,16.64,11.0,92
