EVENT_YR,EVENT_COUNTY,EVENT_COUNTY_POP,PATIENT_AGE_GROUP,NONPHYS_MENTAL_HEALTH_FLG_CNT,SUICIDAL_AND_SELF_HARM_FLG_CNT,HOMICIDAL_AND_HARM_TO_OTHERS_FLG_FLG_CNT,ETL_RUN_TIMESTAMP
2018,SWITZERLAND,10757,60+,40,,25,7/24/2025 9:17
2017,FRANKLIN,22702,18 to 60,128,43,114,7/24/2025 9:17
2024,PIKE,12106,60+,136,,81,7/24/2025 9:17
2020,PIKE,12249,60+,145,,132,7/24/2025 9:17
2024,PIKE,12106,< 18,19,,11,7/24/2025 9:17
2021,POSEY,25165,< 18,63,14,28,7/24/2025 9:17
2020,PIKE,12249,< 18,,,,7/24/2025 9:17
2020,MORGAN,71836,60+,2244,97,858,7/24/2025 9:17
2022,DELAWARE,112163,18 to 60,4210,584,1623,7/24/2025 9:17
2020,HENDRICKS,175596,18 to 60,3748,646,1801,7/24/2025 9:17
2024,PORTER,175335,60+,5426,226,1671,7/24/2025 9:17
2021,PORTER,174551,60+,6321,204,2684,7/24/2025 9:17
2022,ELKHART,206873,18 to 60,7864,1566,3766,7/24/2025 9:17
2018,BARTHOLOMEW,83062,18 to 60,4540,960,930,7/24/2025 9:17
2024,BARTHOLOMEW,84003,18 to 60,4515,854,2017,7/24/2025 9:17
2024,ELKHART,206409,18 to 60,7373,1054,3377,7/24/2025 9:17
2024,PORTER,175335,< 18,2458,248,699,7/24/2025 9:17
2019,ELKHART,206268,18 to 60,7239,1629,2977,7/24/2025 9:17
2021,PORTER,174551,< 18,3191,206,2102,7/24/2025 9:17
2018,MORGAN,70108,60+,1757,110,801,7/24/2025 9:17
2024,FLOYD,80809,60+,7557,210,1912,7/24/2025 9:17
2023,DELAWARE,112321,18 to 60,4722,782,1641,7/24/2025 9:17
2024,BOONE,76120,60+,2020,54,852,7/24/2025 9:17
2024,BOONE,76120,< 18,635,111,510,7/24/2025 9:17
2020,DECATUR,26474,60+,656,27,372,7/24/2025 9:17
2024,FLOYD,80809,< 18,4701,85,1157,7/24/2025 9:17
